date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
1998-12-01,0.00,-24.36,3277.81,6472.65,0.00,15.22,233.59,171.45,71.79,0.00,0.00,0.00,548.71,0.00,0.00,0.00,4154933.55,5971914.99,0.00,15999.76,134246.40,114322.10,61936.36,0.00,0.00,970.88,24.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-01-01,0.00,-42.41,4351.95,8146.82,0.00,3.58,349.21,216.67,108.65,0.00,0.00,0.00,723.98,0.00,0.00,0.00,5532632.08,7536431.23,0.00,3755.78,200936.37,143386.05,94217.19,0.00,0.00,974.95,47.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-02-01,0.00,-21.76,4153.15,7545.69,0.00,2.11,349.69,203.70,110.14,0.00,0.00,0.00,597.19,0.00,0.00,0.00,5319722.19,6983145.02,0.00,2218.78,200757.24,135630.12,94722.62,0.00,0.00,984.26,34.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-03-01,0.00,-64.14,4622.72,8217.25,0.00,11.16,253.31,235.47,124.77,0.00,0.00,0.00,555.51,0.00,0.00,0.00,5904469.70,7604685.15,0.00,11701.17,145217.25,157341.23,106597.41,0.00,0.00,998.14,30.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-04-01,0.00,-18.47,4204.93,7707.56,0.00,1.74,350.19,221.98,87.84,0.00,0.00,0.00,515.23,0.00,0.00,0.00,5404136.68,7098256.34,0.00,1812.13,201640.50,149516.58,75407.93,0.00,0.00,989.27,37.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-05-01,0.00,-52.86,4357.78,8449.53,0.00,3.68,407.02,233.69,69.47,0.00,0.00,0.00,502.40,0.00,0.00,0.00,5595968.84,7754283.85,0.00,3866.45,233963.49,158440.57,59347.40,0.00,0.00,988.20,30.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-06-01,0.00,-39.99,4491.31,8811.20,0.00,0.31,358.50,212.81,82.74,0.00,0.00,0.00,480.18,0.00,0.00,0.00,5721962.00,8097975.61,0.00,328.57,205240.99,147104.54,70337.79,0.00,0.00,989.30,33.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-07-01,0.00,-35.85,4866.18,8784.78,0.00,0.00,363.77,237.37,97.96,0.00,0.00,0.00,565.85,0.00,0.00,0.00,6232512.67,8105905.96,0.00,4.86,206700.74,161383.70,83828.38,0.00,0.00,993.97,27.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-08-01,0.00,-33.76,4670.05,8628.74,0.00,6.66,456.39,230.09,127.91,0.00,0.00,0.00,523.48,0.00,0.00,0.00,6003741.02,7991935.01,0.00,6993.63,256771.93,153065.73,109121.30,0.00,0.00,993.98,36.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-09-01,0.00,-3.54,4403.74,8002.09,0.00,0.00,346.19,210.35,115.84,0.00,0.00,0.00,450.32,0.00,0.00,0.00,5667918.78,7408755.48,0.00,0.00,197823.37,146614.38,99986.96,0.00,0.00,999.71,25.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-10-01,0.00,-7.80,4453.80,8045.23,0.00,5.88,340.94,230.82,166.73,0.00,0.00,0.00,495.77,0.00,0.00,0.00,5708594.43,7425855.75,0.00,6166.93,193933.23,157391.22,140479.34,0.00,0.00,992.79,26.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-11-01,0.00,-11.95,4399.99,7827.70,0.00,3.06,312.70,213.81,148.14,0.00,0.00,0.00,516.82,0.00,0.00,0.00,5602883.38,7229685.68,0.00,3214.40,176894.70,142455.17,123572.55,0.00,0.00,990.19,30.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1999-12-01,0.00,-30.10,4537.54,8037.80,0.00,0.82,318.71,225.19,168.22,0.00,0.00,0.00,505.70,0.00,0.00,0.00,5794801.80,7447181.36,0.00,867.41,182230.79,152564.63,138344.72,0.00,0.00,996.52,23.39,0.00,199399.59,22368400.53,47739874.90,0.00,6163.74,3966597.31,1757496.53,1307259.96,0.00,0.00,0.00,3004388.10,0.00,0.00,0.00
2000-01-01,0.00,-35.84,3990.80,8387.16,0.00,16.10,519.58,226.97,257.34,0.00,0.00,0.00,524.30,0.00,0.00,0.00,5070011.80,7782823.50,0.00,16897.73,292988.27,152528.82,213855.53,0.00,0.00,974.27,58.50,0.00,1791740.27,46042340.88,122632255.56,0.00,1895675.55,5497786.05,3457307.11,5215335.98,0.00,0.00,0.00,7001765.03,0.00,0.00,0.00
2000-02-01,0.00,-51.94,4115.88,8154.24,0.00,5.53,665.11,212.95,292.17,0.00,0.00,0.00,683.53,0.00,0.00,0.00,5248649.47,7538754.64,0.00,5824.83,375236.56,140687.25,237262.26,0.00,0.00,962.28,55.38,0.00,372408.71,56929187.99,83427566.98,0.00,369917.65,16519894.88,3846617.92,5011354.63,0.00,0.00,0.00,10956668.40,0.00,0.00,0.00
2000-03-01,0.00,-63.57,4642.27,8528.57,0.00,22.93,376.44,214.50,229.03,0.00,0.00,0.00,638.94,0.00,0.00,0.00,5925033.93,7908664.05,0.00,24071.60,214467.64,137233.37,185479.38,0.00,0.00,986.69,47.33,0.00,922835.63,84081223.00,87793031.64,0.00,637868.42,12452071.25,3798548.85,4047366.04,0.00,0.00,0.00,7048739.12,0.00,0.00,0.00
2000-04-01,0.00,-32.45,4376.48,7864.18,0.00,3.94,209.70,210.68,156.49,0.00,0.00,0.00,464.87,0.00,0.00,0.00,5574203.98,7269700.40,0.00,4133.77,120564.35,126522.79,126350.19,0.00,0.00,997.55,32.30,0.00,359399.99,35430737.02,64206798.09,0.00,83173.45,4115925.95,2278869.49,1573758.18,0.00,0.00,0.00,3374755.95,0.00,0.00,0.00
2000-05-01,0.00,-37.58,4464.37,8859.69,0.00,2.00,433.18,223.61,163.47,0.00,0.00,0.00,509.32,0.00,0.00,0.00,5727942.44,8211731.39,0.00,2097.51,243706.76,133655.83,126475.17,0.00,0.00,988.20,58.62,0.00,264798.79,46727579.04,101120615.08,0.00,298225.50,6001355.38,2722428.26,2952701.61,0.00,0.00,0.00,8552300.08,0.00,0.00,0.00
2000-06-01,0.00,-65.64,4146.30,9245.77,0.00,6.50,651.30,223.59,205.91,0.00,0.00,0.00,633.52,0.00,0.00,0.00,5373928.62,8545816.24,0.00,6762.07,365923.91,130150.33,153937.24,0.00,0.00,968.72,45.73,0.00,420833.78,38754742.13,84533410.93,0.00,247274.69,8863960.44,2901174.02,2637080.21,0.00,0.00,0.00,6756640.60,0.00,0.00,0.00
2000-07-01,0.00,-95.91,4418.42,9524.90,0.00,4.64,356.92,230.16,193.72,0.00,0.00,0.00,727.66,0.00,0.00,0.00,5682236.75,8800743.17,0.00,4873.67,205320.59,132827.71,143681.37,0.00,0.00,974.56,52.36,0.00,748128.24,48557160.96,115183472.93,0.00,128606.36,5321373.30,3003347.86,3469195.43,0.00,0.00,0.00,9659498.22,0.00,0.00,0.00
2000-08-01,0.00,-122.87,4164.90,9553.45,0.00,2.30,327.16,235.99,214.11,0.00,0.00,0.00,739.11,0.00,0.00,0.00,5366620.31,8840084.05,0.00,2414.21,187890.03,137092.29,160871.69,0.00,0.00,972.27,55.31,0.00,908175.80,50703276.90,103587026.07,0.00,44248.79,5077659.96,3057537.43,3358780.19,0.00,0.00,0.00,9526683.86,0.00,0.00,0.00
2000-09-01,0.00,-22.14,4170.28,8348.28,0.00,0.05,192.77,224.37,149.71,0.00,0.00,0.00,663.00,0.00,0.00,0.00,5341969.73,7769052.65,0.00,48.63,110994.67,131755.53,109181.46,0.00,0.00,980.82,27.63,0.00,94547.78,26735661.66,57481659.60,0.00,1082.81,1873177.05,1713694.19,1381506.10,0.00,0.00,0.00,4455185.12,0.00,0.00,0.00
2000-10-01,0.00,-12.16,4331.62,8452.48,0.00,4.50,211.74,230.20,159.56,0.00,0.00,0.00,595.87,0.00,0.00,0.00,5527820.41,7909286.05,0.00,4726.83,121921.49,133286.81,116188.03,0.00,0.00,988.51,37.64,0.00,42784.90,29034746.19,72058709.71,0.00,92844.47,2530648.44,2054465.92,2040621.19,0.00,0.00,0.00,4647284.72,0.00,0.00,0.00
2000-11-01,0.00,-67.66,4268.18,8485.07,0.00,8.40,259.38,225.93,160.04,0.00,0.00,0.00,381.51,0.00,0.00,0.00,5437848.62,7871850.42,0.00,8866.28,148926.55,130633.43,117020.64,0.00,0.00,999.58,37.74,0.00,283306.89,38641195.43,87452221.64,0.00,88755.76,3857573.10,2805540.02,2609463.89,0.00,0.00,0.00,3675916.38,0.00,0.00,0.00
2000-12-01,0.00,-106.34,4689.28,8590.24,0.00,5.36,227.50,265.25,119.25,0.00,0.00,0.00,375.26,0.00,0.00,0.00,5977952.97,7943839.91,0.00,5611.21,130837.27,144597.07,93070.84,0.00,0.00,1009.18,32.02,0.00,563101.92,28050408.60,81134196.70,0.00,267939.28,2380547.07,2383648.69,2351805.53,0.00,0.00,0.00,3366248.20,0.00,0.00,0.00
2001-01-01,0.00,-142.38,4669.93,8829.50,0.00,5.06,466.39,346.34,158.22,0.00,0.00,0.00,508.27,0.00,0.00,0.00,5979257.02,8159499.78,0.00,5523.13,265065.29,176099.36,125417.14,0.00,0.00,991.21,71.00,0.00,976604.09,58527896.16,179325976.86,0.00,361330.04,11976877.23,6566770.49,5097172.27,0.00,0.00,0.00,27238628.15,0.00,0.00,0.00
2001-02-01,0.00,-124.79,4303.87,8277.61,0.00,2.38,425.74,359.54,123.35,0.00,0.00,0.00,456.67,0.00,0.00,0.00,5528776.17,7653686.13,0.00,2741.30,240886.57,178102.06,96277.01,0.00,0.00,991.04,40.35,0.00,641269.41,43098303.52,75388926.57,0.00,99541.19,6544387.87,4106674.40,1983918.51,0.00,0.00,0.00,5790167.36,0.00,0.00,0.00
2001-03-01,0.00,-107.92,4499.10,8824.49,0.00,1.89,322.16,415.32,123.10,0.00,0.00,0.00,477.92,0.00,0.00,0.00,5788725.47,8232999.79,0.00,1986.35,181647.27,206142.76,96622.53,0.00,0.00,996.71,39.25,0.00,567846.91,34385009.50,80361604.92,0.00,130785.66,3150281.52,4176298.85,1918526.06,0.00,0.00,0.00,4738554.08,0.00,0.00,0.00
2001-04-01,0.00,-68.24,4360.55,8174.15,0.00,0.06,242.88,348.84,82.94,0.00,0.00,0.00,373.72,0.00,0.00,0.00,5573878.34,7582900.15,0.00,59.74,138033.88,171531.07,60921.87,0.00,0.00,1000.92,30.92,0.00,324555.32,28909403.43,58721230.56,0.00,9090.29,2171978.91,2644493.78,824018.72,0.00,0.00,0.00,2922550.06,0.00,0.00,0.00
2001-05-01,0.00,-32.36,4435.20,8943.95,0.00,0.18,413.54,423.96,56.60,0.00,0.00,0.00,663.22,0.00,0.00,0.00,5640388.43,8286144.64,0.00,183.16,231122.31,212270.51,45421.60,0.00,0.00,967.21,37.16,0.00,189725.66,38440697.97,83738376.04,0.00,7784.40,4760124.28,4781627.07,639025.91,0.00,0.00,0.00,6701589.56,0.00,0.00,0.00
2001-06-01,0.00,-23.85,4550.67,8884.27,0.00,0.35,344.99,426.05,89.28,0.00,0.00,0.00,575.34,0.00,0.00,0.00,5815941.36,8249861.20,0.00,370.26,194303.57,210069.71,61075.53,0.00,0.00,978.75,33.03,0.00,150223.43,34076477.41,74620374.67,0.00,4460.13,3087587.02,3704736.97,824929.50,0.00,0.00,0.00,5155880.09,0.00,0.00,0.00
2001-07-01,0.00,-26.58,4813.41,9502.60,0.00,0.01,321.05,420.94,91.56,0.00,0.00,0.00,486.46,0.00,0.00,0.00,6151090.63,8811823.87,0.00,6.42,182233.67,210365.04,58320.59,0.00,0.00,987.47,35.51,0.00,115750.12,40330624.44,66115171.58,0.00,82.54,3837723.19,4307301.99,861184.21,0.00,0.00,0.00,3945505.82,0.00,0.00,0.00
2001-08-01,0.00,-29.50,4873.98,9238.56,0.00,0.75,301.97,514.21,99.00,0.00,0.00,0.00,429.19,0.00,0.00,0.00,6231175.03,8555020.78,0.00,834.87,171299.06,248393.83,64492.04,0.00,0.00,989.83,50.75,0.00,145097.78,62570539.21,73801890.44,0.00,3489.79,4842154.21,6460254.96,1277358.17,0.00,0.00,0.00,5982767.66,0.00,0.00,0.00
2001-09-01,0.00,-15.88,4370.18,8358.99,0.00,0.23,237.50,435.14,92.92,0.00,0.00,0.00,473.60,0.00,0.00,0.00,5579052.40,7758620.15,0.00,241.44,135032.52,213116.36,58517.68,0.00,0.00,985.09,26.55,0.00,59592.61,27764071.53,55437474.27,0.00,977.43,1634225.53,2864071.86,645773.20,0.00,0.00,0.00,3569851.93,0.00,0.00,0.00
2001-10-01,0.00,-57.62,4181.37,8783.62,0.00,2.03,225.90,502.65,106.63,0.00,0.00,0.00,577.51,0.00,0.00,0.00,5401768.93,8138157.17,0.00,2133.11,127874.07,244173.28,71591.57,0.00,0.00,976.51,32.64,0.00,433485.20,28303258.78,68613435.69,0.00,116546.38,1756481.48,3688388.62,1282777.31,0.00,0.00,0.00,4829692.80,0.00,0.00,0.00
