date,New South Wales,Queensland,South Australia,Tasmania,Victoria
1 Jan 2010 12:00 am,70665,49473,10051,2811,68168
1 Jan 2011 12:00 am,68970,46624,9407,2275,67015
1 Jan 2012 12:00 am,65975,45713,8215,2287,68393
1 Jan 2013 12:00 am,61768,43937,7656,1336,60574
1 Jan 2014 12:00 am,60161,41200,7216,569,58789
1 Jan 2015 12:00 am,60979,46437,7434,2517,62958
1 Jan 2016 12:00 am,59997,47716,7823,1753,60197
1 Jan 2017 12:00 am,60717,49450,6041,1995,56436
1 Jan 2018 12:00 am,59907,51169,4663,1406,46226
1 Jan 2019 12:00 am,59028,49062,4167,1294,43908
1 Jan 2020 12:00 am,55721,46471,3973,893,42621
1 Jan 2021 12:00 am,52212,43991,3609,1484,41932
1 Jan 2022 12:00 am,48732,42626,3278,951,39924
1 Jan 2023 12:00 am,47299,41288,2944,1321,38666
1 Jan 2024 12:00 am,46231,41491,3057,1767,39280
1 Jan 2025 12:00 am,43288,31914,774,0,25890
1 Jan 2026 12:00 am,34295,32966,1163,0,24449
1 Jan 2027 12:00 am,30271,26167,937,0,22968
1 Jan 2028 12:00 am,29340,23167,765,0,17753
1 Jan 2029 12:00 am,20270,22613,948,0,13666
1 Jan 2030 12:00 am,11853,17050,753,0,9869
1 Jan 2031 12:00 am,8117,15516,601,0,9162
1 Jan 2032 12:00 am,6120,14044,233,0,8281
1 Jan 2033 12:00 am,6311,12165,258,0,9380
1 Jan 2034 12:00 am,6341,8643,460,1,390
1 Jan 2035 12:00 am,5899,1869,526,4,428
1 Jan 2036 12:00 am,5817,1731,490,0,355
1 Jan 2037 12:00 am,3652,2856,825,3,665
1 Jan 2038 12:00 am,829,2606,458,5,477
1 Jan 2039 12:00 am,673,2216,478,0,505
1 Jan 2040 12:00 am,1038,4216,770,0,435
1 Jan 2041 12:00 am,1247,5461,797,0,686
1 Jan 2042 12:00 am,1524,4368,727,0,756
1 Jan 2043 12:00 am,1904,5413,862,2,820
1 Jan 2044 12:00 am,2043,5294,1285,2,1255
1 Jan 2045 12:00 am,1668,4637,758,1,890
1 Jan 2046 12:00 am,1608,2437,440,0,432
1 Jan 2047 12:00 am,1604,3500,390,0,596
1 Jan 2048 12:00 am,2529,3152,302,0,288
1 Jan 2049 12:00 am,1309,2037,403,2,739
1 Jan 2050 12:00 am,1231,1754,309,0,316
1 Jan 2051 12:00 am,1908,3293,568,0,839
1 Jan 2052 12:00 am,1192,1901,234,0,581
