date,New South Wales,Queensland,South Australia,Tasmania,Victoria
1 Jan 2010 12:00 am,890,834,677,242,1168
1 Jan 2011 12:00 am,877,801,624,183,1142
1 Jan 2012 12:00 am,878,802,573,199,1181
1 Jan 2013 12:00 am,856,803,539,102,1081
1 Jan 2014 12:00 am,857,784,528,41,1062
1 Jan 2015 12:00 am,864,785,552,221,1118
1 Jan 2016 12:00 am,815,776,522,157,1070
1 Jan 2017 12:00 am,821,789,436,171,1022
1 Jan 2018 12:00 am,803,797,310,116,908
1 Jan 2019 12:00 am,784,769,276,104,873
1 Jan 2020 12:00 am,749,724,262,73,840
1 Jan 2021 12:00 am,712,698,243,125,806
1 Jan 2022 12:00 am,658,677,221,74,742
1 Jan 2023 12:00 am,623,643,195,110,711
1 Jan 2024 12:00 am,600,619,204,148,714
1 Jan 2025 12:00 am,530,504,47,—,506
1 Jan 2026 12:00 am,421,495,66,—,450
1 Jan 2027 12:00 am,355,376,50,—,411
1 Jan 2028 12:00 am,327,330,37,—,309
1 Jan 2029 12:00 am,213,314,44,—,236
1 Jan 2030 12:00 am,115,213,32,—,155
1 Jan 2031 12:00 am,76,189,25,—,139
1 Jan 2032 12:00 am,57,160,10,—,115
1 Jan 2033 12:00 am,57,132,10,—,122
1 Jan 2034 12:00 am,56,90,17,0,5
1 Jan 2035 12:00 am,48,18,19,0,5
1 Jan 2036 12:00 am,47,16,18,—,4
1 Jan 2037 12:00 am,29,26,30,0,7
1 Jan 2038 12:00 am,6,23,16,0,5
1 Jan 2039 12:00 am,5,19,16,—,5
1 Jan 2040 12:00 am,8,35,26,0,4
1 Jan 2041 12:00 am,9,44,26,0,7
1 Jan 2042 12:00 am,11,35,23,0,7
1 Jan 2043 12:00 am,14,42,26,0,8
1 Jan 2044 12:00 am,14,39,38,0,11
1 Jan 2045 12:00 am,12,34,21,0,8
1 Jan 2046 12:00 am,11,17,12,0,4
1 Jan 2047 12:00 am,11,24,11,—,5
1 Jan 2048 12:00 am,17,21,8,—,2
1 Jan 2049 12:00 am,9,14,11,0,6
1 Jan 2050 12:00 am,8,11,8,—,3
1 Jan 2051 12:00 am,12,21,15,—,7
1 Jan 2052 12:00 am,7,12,6,—,5
